#No.,Time,Source,Destination,Protocol,Length,Info
1,0,192.168.1.250,2.19.153.188,TCP,55,4475  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]
2,0.012394,2.19.153.188,192.168.1.250,TCP,66,443  >  4475 [ACK] Seq=1 Ack=2 Win=305 Len=0 SLE=1 SRE=2
3,0.75283,192.168.1.254,192.168.1.250,SSDP,429,HTTP/1.1 200 OK 
4,0.843929,192.168.1.250,239.255.255.250,SSDP,143,M-SEARCH * HTTP/1.1 
5,1.013643,192.168.1.250,2.19.153.188,TCP,55,[TCP Keep-Alive] 4475  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1
6,1.027406,2.19.153.188,192.168.1.250,TCP,66,[TCP Keep-Alive ACK] 443  >  4475 [ACK] Seq=1 Ack=2 Win=305 Len=0 SLE=1 SRE=2
7,1.086598,192.168.1.250,40.67.254.36,TCP,55,3394  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]
8,1.108174,40.67.254.36,192.168.1.250,TCP,66,443  >  3394 [ACK] Seq=1 Ack=2 Win=8093 Len=0 SLE=1 SRE=2
9,1.882403,192.168.1.254,192.168.1.250,UDP,316,48223  >  60830 Len=274
10,1.882403,192.168.1.254,192.168.1.250,UDP,316,48223  >  60830 Len=274
11,1.882403,192.168.1.254,192.168.1.250,UDP,325,48223  >  60830 Len=283
12,1.882403,192.168.1.254,192.168.1.250,UDP,325,48223  >  60830 Len=283
13,1.882403,192.168.1.254,192.168.1.250,UDP,380,48223  >  60830 Len=338
14,1.888169,192.168.1.254,192.168.1.250,UDP,380,48223  >  60830 Len=338
15,1.888169,192.168.1.254,192.168.1.250,UDP,390,48223  >  60830 Len=348
16,1.888169,192.168.1.254,192.168.1.250,UDP,390,48223  >  60830 Len=348
17,2.028693,192.168.1.250,2.19.153.188,TCP,55,[TCP Keep-Alive] 4475  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1
18,2.041663,2.19.153.188,192.168.1.250,TCP,66,[TCP Keep-Alive ACK] 443  >  4475 [ACK] Seq=1 Ack=2 Win=305 Len=0 SLE=1 SRE=2
19,2.128038,192.168.1.250,81.150.22.186,HTTP,259,GET /cdhlsz2skysportsmainevent/1301/05.m3u8 HTTP/1.1 
20,2.172834,81.150.22.186,192.168.1.250,HTTP,900,HTTP/1.1 200 OK  (application/x-mpegurl)
