No.,Time,Source,Destination,Protocol,Length,Info
1,0,10.4.246.118,10.4.255.255,BROWSER,220,Request Announcement TAMSDEN
2,0.0002,10.4.246.118,93.184.220.29,OCSP,359,Request
3,0.032606,93.184.220.29,10.4.246.118,TCP,54,80  >  1677 [ACK] Seq=1 Ack=306 Win=52 Len=0
4,0.032818,93.184.220.29,10.4.246.118,TCP,54,"80  >  1677 [FIN, ACK] Seq=1 Ack=306 Win=52 Len=0"
5,0.032875,10.4.246.118,93.184.220.29,TCP,54,1677  >  80 [ACK] Seq=306 Ack=2 Win=512 Len=0
6,0.033177,10.4.246.118,93.184.220.29,TCP,54,"1677  >  80 [FIN, ACK] Seq=306 Ack=2 Win=512 Len=0"
7,0.055673,10.4.246.118,10.65.2.46,DNS,74,Standard query 0xdf84 A cdp.thawte.com
8,0.060437,93.184.220.29,10.4.246.118,TCP,54,80  >  1677 [ACK] Seq=2 Ack=307 Win=52 Len=0
9,0.077877,10.4.246.118,10.65.2.46,DNS,74,Standard query 0xdf84 A cdp.thawte.com
10,0.085729,10.65.2.46,10.4.246.118,DNS,150,Standard query response 0xdf84 A cdp.thawte.com CNAME crl3.digicert.com CNAME cs9.wac.phicdn.net A 93.184.220.29
11,0.089028,10.4.246.118,93.184.220.29,TCP,66,1680  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
12,0.106961,10.65.2.46,10.4.246.118,DNS,150,Standard query response 0xdf84 A cdp.thawte.com CNAME crl3.digicert.com CNAME cs9.wac.phicdn.net A 93.184.220.29
13,0.117102,93.184.220.29,10.4.246.118,TCP,66,"80  >  1680 [SYN, ACK] Seq=0 Ack=1 Win=5560 Len=0 MSS=1250 SACK_PERM=1 WS=128"
14,0.117289,10.4.246.118,93.184.220.29,TCP,54,1680  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0
15,0.118369,10.4.246.118,93.184.220.29,HTTP,190,GET /ThawteEVRSACA2018.crl HTTP/1.1 
16,0.119159,10.4.246.118,52.16.176.29,TCP,66,1681  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1
17,0.146185,93.184.220.29,10.4.246.118,TCP,54,80  >  1680 [ACK] Seq=1 Ack=137 Win=6656 Len=0
18,0.146465,93.184.220.29,10.4.246.118,HTTP,814,HTTP/1.1 200 OK  (text/html)
19,0.146644,93.184.220.29,10.4.246.118,TCP,54,"80  >  1680 [FIN, ACK] Seq=761 Ack=137 Win=6656 Len=0"
20,0.146691,10.4.246.118,93.184.220.29,TCP,54,1680  >  80 [ACK] Seq=137 Ack=762 Win=130304 Len=0
21,0.146876,52.16.176.29,10.4.246.118,TCP,66,"443  >  1681 [SYN, ACK] Seq=0 Ack=1 Win=5560 Len=0 MSS=1250 SACK_PERM=1 WS=128"
22,0.147004,10.4.246.118,52.16.176.29,TCP,54,1681  >  443 [ACK] Seq=1 Ack=1 Win=262176 Len=0
23,0.148189,10.4.246.118,52.16.176.29,TLSv1,571,Client Hello
24,0.176108,52.16.176.29,10.4.246.118,TCP,54,443  >  1681 [ACK] Seq=1 Ack=518 Win=6656 Len=0
25,0.176363,52.16.176.29,10.4.246.118,TCP,54,"443  >  1681 [FIN, ACK] Seq=1 Ack=518 Win=6656 Len=0"
26,0.176443,10.4.246.118,52.16.176.29,TCP,54,1681  >  443 [ACK] Seq=518 Ack=2 Win=262176 Len=0
27,0.176775,10.4.246.118,52.16.176.29,TCP,54,"1681  >  443 [FIN, ACK] Seq=518 Ack=2 Win=262176 Len=0"
28,0.204249,52.16.176.29,10.4.246.118,TCP,54,443  >  1681 [ACK] Seq=2 Ack=519 Win=6656 Len=0
29,0.571737,Cisco_23:ed:60,Broadcast,ARP,42,Gratuitous ARP for 10.106.32.1 (Reply)
